kgName,kinderGardenId,kgExternal,kgMapUrl,selectedRegionId,selectedRegionRegionName
"ДГ №158 Зора - сграда ул. Илия Кушев, бл. 118",686,158,,12,Илинден
"ДГ №158 Зора - сграда ул. Цар Симеон, бл. 313",685,158,,12,Илинден
ДГ №179 Синчец (с яслени групи),129,179,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.716447,23.286172&spn=0.001868,0.003626&t=h&z=18&iwloc=00044dbbb3ecf11c962c8",12,Илинден
ДГ №6 Вълшебен свят (с яслени групи),175,6,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.726035,23.30889&spn=0.001868,0.003626&t=h&z=18&iwloc=00044d90d3fdd9d6e643f",13,Надежда
ДГ №15 Чучулига (с яслени групи),158,15,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.736682,23.309206&spn=0.001868,0.003626&t=h&z=18&iwloc=00044d9374ae1e9f0fa0d",13,Надежда
ДГ №24 Надежда (с яслени групи),95,24,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.731402,23.292367&spn=0.004784,0.011362&iwloc=00044d94c00e171acdcee",13,Надежда
ДГ №27 Детска китка - сграда ул. Иван Кулин,293,27,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.725058,23.303032&spn=0.004753,0.011362&iwloc=0004dd5e74aca4627c4ef",13,Надежда
ДГ №38 Дора Габе (с яслени групи),40,38,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.73219,23.30382&spn=0.001868,0.003626&t=h&z=18&iwloc=00044da52a4271b23721d",13,Надежда
ДГ №83 Славейче (с яслени групи),131,83,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.753445,23.317215&spn=0.001867,0.003626&t=h&z=18&iwloc=00044dbc97273401aa0e2",13,Надежда
ДГ №83 Славейче - сграда Требич,202,83,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.775283,23.313707&spn=0.00363,0.006899&t=h&z=17  ",13,Надежда
